title,url,id,scrape date,price,body,fuel,odometer,transmission,VIN,condition,title status,engine displacement (CC),paint color,street legal,type,delivery available,odometer broken,odometer rolled over,cryptocurrency ok,Unnamed: 20
,,,,,,,,,,,,,,,,,,,,
2016 Honda Crf250 motorcycle dirt bike,https://portland.craigslist.org/clc/mcy/d/oregon-city-2016-honda-crf250/7585327708.html,7585327708.0,"02/02/2023, 15:00:36","$4,000","2016 Crf250.
Owned it for about 2 years. Runs great.

Has professionally rebuilt motor because one side of the engine case was cracked.I have receipts. Only ridden a few times since rebuild
Newer back tire.
Clean title in hand. $4000
Great bike
Email or text",gas,80.0,manual,,,,,,,,,,,,
2022 Kawasaki KLX 300R,https://portland.craigslist.org/mlt/mcd/d/stayton-2022-kawasaki-klx-300r/7585309651.html,7585309651.0,"02/02/2023, 15:00:39","$5,499","2022 Kawasaki KLX 300R - () STOCK #: W-A17660
Available at: Power Motorsports ☎ Phone: (503) 379-4033
Year: 2022
Make: Kawasaki
Model: KLX 300R
Color:
Odometer: 0
Stock #: W-A17660
Condition: Used

Comments for this 2022 Kawasaki KLX 300R:


Let Us Get You Approved! For more information on this 2022 Kawasaki KLX 300R:
☎ Phone: (503) 379-4033
EMAIL: Click the Reply button in the upper left corner of this page
WEB: http://www.clickpowersports.com/r/?id=12964292&d=2331&t=1     (copy and paste link)
INSTANT CREDIT APPROVAL: http://www.clickpowersports.com/r/?id=12964292&d=2331&t=2    (copy and paste link)
30 SECOND TRADE APPRAISAL: http://www.clickpowersports.com/r/?id=12964292&d=2331&t=3    (copy and paste link)
This Kawasaki KLX 300R is for sale at:
Power Motorsports
333 SW Sublimity Blvd
Sublimity, OR 97385
Phone: (503) 379-4033

Check out these other similar priced models we have in stock: 2023 Kawasaki Ninja 400 Pearl Blizzard White Metallic Carbon Gra, 2022 KTM RC 390, 2023 Kawasaki Ninja 400 Matrix Camo Gray Metallic Matte Carbon G, 2023 Kawasaki KLX 230SM, 2023 Kawasaki KX 112, 2023 Kawasaki Z400 ABS, 2023 Kawasaki Ninja 400 ABS Pearl Blizzard White Metallic Carbon, 2023 KTM 65 SX, 2023 Kawasaki KLX 300R, 2023 Yamaha YZF-R3
DISCLAIMER: Advertised pricing excludes applicable taxes title and licensing and are subject to change without notice. Sale prices include all applicable offers. Not all options listed available on all models. Pictures for illustration only. Contact Power Motorsports for details. While every reasonable effort is made to ensure the accuracy of the information for this 2022 Kawasaki KLX 300R, we are not responsible for any errors or omissions contained on these pages. Please verify any information in question with Power Motorsports of Sublimity at (503) 379-4033.
2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 || New or Used || 2022 Kawasaki KLX 300R || Motorcycle || Sport Bikes || ATV || UTV || Used Sportbikes || Sport Bike || Bad Credit || KLX300R || KLX 300 R || 12964292

Powered by REV Digital | www.REVdigital.com",gas,0.0,manual,JKALX8C13NDA17660,excellent,clean,,,,,,,,,
1962 Yamaha YD3,https://portland.craigslist.org/clc/mcy/d/clackamas-1962-yamaha-yd3/7585307625.html,7585307625.0,"02/02/2023, 15:00:41","$2,000","This Yamaha has been stripped and partially re-built. The frame is primed and painted. It has new wheels and tires. There are many new parts, too many to list. The engine runs good. Nothing more major to do. Just put everything back together. Good hobby for someone to work on. Since my serious accident, fractured back, I won't be able to finish it. Things it needs: carburators, ignition, re-connecting the wires, put the top of the engine back on. Clean and refinish the gas tank. This is a 250 2 stroke engine. Asking $2000 or best offer.",gas,6798.0,manual,,good,missing,250.0,blue,yes,street,,,,,
2018 Beta Race Edition 300,https://portland.craigslist.org/yam/mcy/d/newberg-2018-beta-race-edition-300/7585298979.html,7585298979.0,"02/02/2023, 15:00:44","$6,995","2018 Beta RR Race Edition, Recluse CX clutch ($1000), includes stock clutch never used, FMF gnarly pipe, stock FMF silencer, FMF pipe w/spark arrestor silencer, race wire kit installed (stock wire kit included), hour meter (when race wire kit installed), hand guards, brake wire guard, stock skid plate, aftermarket TMD skid with linkage guard, stock tank, IMS large tank with petcock (stock is shown on bike.) Recent fork service, heavy springs for 200lb rider, Tubliss Rear tube, standard HD tube in front, new tires with one ride on them. One owner ready to go, Runs great. $6995",gas,1000.0,manual,,excellent,clean,300.0,red,,dirtbike,,,,,
1986 Harley Liberty FXRS Low Rider,https://portland.craigslist.org/clc/mcy/d/portland-1986-harley-liberty-fxrs-low/7585269283.html,7585269283.0,"02/02/2023, 15:00:47","$10,000","CASH ONLY NO SCAMMERS, TEXT ONLY, EMAILS & PHONE CALLS WONT BE ANSWERED.
#663 of 799 per HD cert of ownership. 5,826 mi. I bought it @ 2,000 miles in 2002 & am the 3rd owner & it has been well taken care of by all owners, motor was rebuilt by Harvey's Classic Cycles in Palmer Alaska at 926 miles w/ Axtel 10 -1 pistons, Total Seal rings, Andrew's EV13 cam & adjustable pushrods, Karata Vertex magneto, Mikuni carb, Kerker exhaust, Fisher harmonic balancer, Hayden chain tensioner, Barnett Kevlar clutch, Screaming Eagle HD clutch spring & Front fork brace
Also incl, Corbin gunfighter seat, 21"" front spoke wheel & tire, (have original 19"" rim w/ new tire) Performance Machine billet aluminum rear sprocket, Chromed left primary cover and alot of extra parts & hardware, some original & aftermarket. Also have a copy of the ""cert of ownership"" orig owner wouldn't give up original, Now the bad news, there is a dent in the rear fender from being hit by a tire squarely on the license plate bracket, the plate sits level & dent is hard to see, but it's there, also being 37 years old there is minor scratching on frame paint from maintenance & some in the paint but none to bare metal I can see, just being honest",gas,5826.0,manual,,excellent,clean,1340.0,,yes,,,,,,
2017 KTM 350 SX-F,https://portland.craigslist.org/wsc/mcy/d/beaverton-2017-ktm-350-sx/7585250696.html,7585250696.0,"02/02/2023, 15:00:50","$6,800","Garaged and only ridden 4 times the last 2 years. This lightly used KTM 350 has launch mode, and tons of power. Perfect balance between big bore and light weight. This has been my favorite bike out of all the ones I have owned. Life changes forces sale. But this is going to be a really nice bike for someone else. Also throwing in with the deal, a brand new antigravity battery that has the auto jump button on top. Great for making sure you never get stranded.

Bike needs nothing, runs perfect! TITLE IN HAND.

LOW HOURS - 50.5 hours logged on bike.

- Electric start
- Lowering kit - Great for trail riding
- Cooling fan and temp gauge installed
- Extra filters
- Brand new in box antigravity battery
- Great shape tires and wheels.

TEXT MESSAGE will get the fastest response.
Thanks - Keith",gas,1000.0,manual,,,clean,350.0,orange,,dirtbike,,,,,
1980 XR80,https://portland.craigslist.org/clk/mcy/d/vancouver-1980-xr80/7585248990.html,7585248990.0,"02/02/2023, 15:00:53",$750,Not being used so it needs a new rider. Engine was gone through just after I purchased it at a Dino Daze swap meet. Very little use since. I am not sure I have or ever had a title at this point. We are moving from 2 acres where the kids could ride to a floating home.,gas,1.0,manual,,fair,missing,,red,,dirtbike,,,,,
2010 Honda VFR1200F,https://portland.craigslist.org/mlt/mcy/d/damascus-2010-honda-vfr1200f/7585243295.html,7585243295.0,"02/02/2023, 15:00:54","$6,000","16k miles. DAM exhaust. New tires plus a spare set of never used. Never been down. Selling to get a dirt bike.

My cell phone is five-zero-three- three-zero-seven-zero-eight-four- one.",gas,16000.0,manual,,excellent,clean,1200.0,red,yes,sport touring,,,,,
2018 Kawasaki Versys -X 300 ABS,https://portland.craigslist.org/mlt/mcd/d/stayton-2018-kawasaki-versys-300-abs/7585239100.html,7585239100.0,"02/02/2023, 15:00:55","$4,999","2018 Kawasaki Versys -X 300 ABS - () STOCK #: U-A05729
Available at: Power Motorsports ☎ Phone: (503) 379-4033
Year: 2018
Make: Kawasaki
Model: Versys -X 300 ABS
Color:
Odometer: 7302
Stock #: U-A05729
Condition: Used

Comments for this 2018 Kawasaki Versys -X 300 ABS:


Let Us Get You Approved! For more information on this 2018 Kawasaki Versys -X 300 ABS:
☎ Phone: (503) 379-4033
EMAIL: Click the Reply button in the upper left corner of this page
WEB: http://www.clickpowersports.com/r/?id=13297065&d=2331&t=1     (copy and paste link)
INSTANT CREDIT APPROVAL: http://www.clickpowersports.com/r/?id=13297065&d=2331&t=2    (copy and paste link)
30 SECOND TRADE APPRAISAL: http://www.clickpowersports.com/r/?id=13297065&d=2331&t=3    (copy and paste link)
This Kawasaki Versys -X 300 ABS is for sale at:
Power Motorsports
333 SW Sublimity Blvd
Sublimity, OR 97385
Phone: (503) 379-4033

Check out these other similar priced models we have in stock: 2014 Yamaha FZ6R, 2023 KTM SX-E 3, 2023 Kawasaki KX 112, 2023 Kawasaki KLX 230SM, 2022 Husqvarna TC 85 17 14, 2023 Kawasaki Ninja 400 Matrix Camo Gray Metallic Matte Carbon G, 2023 Kawasaki Z400 ABS, 2022 KTM RC 390, 2020 Vespa Elettrica 30 MPH, 2023 Kawasaki KLX 230 S
DISCLAIMER: Advertised pricing excludes applicable taxes title and licensing and are subject to change without notice. Sale prices include all applicable offers. Not all options listed available on all models. Pictures for illustration only. Contact Power Motorsports for details. While every reasonable effort is made to ensure the accuracy of the information for this 2018 Kawasaki Versys -X 300 ABS, we are not responsible for any errors or omissions contained on these pages. Please verify any information in question with Power Motorsports of Sublimity at (503) 379-4033.
2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 || New or Used || 2018 Kawasaki Versys -X 300 ABS || Motorcycle || Sport Bikes || ATV || UTV || Used Sportbikes || Sport Bike || Bad Credit || Versys-X300ABS || Versys -X 300 ABS || 13297065

Powered by REV Digital | www.REVdigital.com",gas,7302.0,manual,JKALE8C18JDA05729,excellent,clean,,,,,,,,,
